The column name description is given below:

    "Cluster": Name of the galaxy cluster
    "Region": Region of the cluster (Annulus or Core) which we study and within which we measure the temperatures. Annulus refers to 0.2-0.5 R500 and Core to <0.2 R500.
    "T_eRO_full": eROSITA temperature in the 0.7-7 keV (full) band (units: keV)
    "T_eRO_full_low": Lower 1σ uncertainty of T_eRO_full (units: keV)
    "T_eRO_full_high": Upper 1σ uncertainty of T_eRO_full (units: keV)
    "T_CXO_XMM_full": Chandra or XMM-Newton temperature (depends on the used instrument, see last column) in the 0.7-7 keV band (units: keV)
    "T_CXO_XMM_full_low": Lower 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_CXO_XMM_full_high": Upper 1σ uncertainty of T_CXO_XMM_full (units: keV)
    "T_eRO_soft": eROSITA temperature in the 0.5-4 keV (soft) band (units: keV)
    "T_eRO_soft_low": Lower 1σ uncertainty of T_eRO_soft (units: keV)
    "T_eRO_soft_high": Upper 1σ uncertainty of T_eRO_soft (units: keV)
    "T_CXO_XMM_soft": Chandra or XMM-Newton temperature in the 0.5-4 keV band (units: keV)
    "T_CXO_XMM_soft_low": Lower 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_CXO_XMM_soft_high": Upper 1σ uncertainty of T_CXO_XMM_soft (units: keV)
    "T_eRO_hard": eROSITA temperature in the 1.5-7 keV (hard) band (units: keV)
    "T_eRO_hard_low": Lower 1σ uncertainty of T_eRO_hard (units: keV)
    "T_eRO_hard_high": Upper 1σ uncertainty of T_eRO_hard (units: keV)
    "T_CXO_XMM_hard": Chandra or XMM-Newton temperature in the 1.5-7 keV band (units: keV)
    "T_CXO_XMM_hard_low": Lower 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "T_CXO_XMM_hard_high": Upper 1σ uncertainty of T_CXO_XMM_hard (units: keV)
    "Z_full": Best-fit metal abundance used in determination of T_eRO_full (fixed Z_full) and was constrained simultaneously with T_CXO_XMM_full, where Z_full was free to vary (units: solar abundance Z_solar)
    "Z_soft": Same as Z_full but for T_eRO_soft and T_CXO_XMM_soft (units: solar abundance Z_solar)
    "Z_hard": Same as Z_full but for T_eRO_hard and T_CXO_XMM_hard (units: solar abundance Z_solar)
    "z": Redshift of cluster
    "R500": Apparent R500 cluster radius (units: arcminutes)
    "NHtot": Total hydrogen column density as given in Willingale et al. (2013) (units: 1/cm^2)
    "Glon": Galactic longitude (units: degrees)
    "Glat": Galactic latitude (units: degrees)
    "CXO_XMM_telescope": Telescope used for measuring T_CXO_XMM values


#Note: Some cluster regions appear twice, due to the temperature having been measured with both Chandra and XMM-Newton. In such cases, the eROSITA temperature might differ for the same cluster region, since different masks were used and different fraction of the region is covered by Chandra and XMM-Newton, with the former sometimes not covering the full 0.2-0.5 R500 annulus.   

#Cluster	Region	T_eRO_full	T_eRO_full_low	T_eRO_full_high	T_CXO_XMM_full	T_CXO_XMM_full_low	T_CXO_XMM_full_high	T_eRO_soft	T_eRO_soft_low	T_eRO_soft_high	T_CXO_XMM_soft	T_CXO_XMM_soft_low	T_CXO_XMM_soft_high	T_eRO_hard	T_eRO_hard_low	T_eRO_hard_high	T_CXO_XMM_hard	T_CXO_XMM_hard_low	T_CXO_XMM_hard_high	Z_full	Z_soft	Z_hard	z	R500	Nhtot	Glon	Glat	CXO_XMM_telescope
1ES0657	Annulus	7.251	1.251	2.177	15.771	0.398	0.326	11.184	3.366	8.301	15.529	0.690	0.775	4.094	0.979	1.529	14.059	0.456	0.466	0.378	2.369	0.382	0.296	5.244	6.440	266.025	-21.248	Chandra
A0458	Annulus	3.564	0.983	1.288	3.653	0.304	0.288	2.768	0.581	1.092	3.321	0.118	0.122	-	-	-	4.059	0.227	0.250	0.359	0.277	0.495	0.106	7.857	1.280	218.840	-50.784	XMM-Newton
A0458	Core	4.110	0.874	1.272	4.236	0.088	0.099	4.077	1.082	1.482	4.077	0.142	0.155	4.576	1.462	7.005	4.905	0.270	0.288	-	0.703	0.624	0.106	7.857	1.280	218.840	-50.784	XMM-Newton
A0478	Annulus	12.910	3.099	8.066	10.895	0.052	0.406	14.458	4.760	8.344	14.342	0.457	0.593	11.246	5.499	7.676	8.283	0.220	0.214	0.437	5.000	0.340	0.088	12.893	25.700	182.433	-28.286	Chandra
A0478	Core	6.578	0.753	1.020	11.120	0.236	0.105	-	-	-	-	-	-	-	-	-	-	-	-	0.774	-	-	0.088	12.893	25.700	182.433	-28.286	Chandra
A0496	Annulus	3.915	0.387	0.492	4.638	0.087	0.085	3.790	0.378	0.443	4.542	0.096	0.103	2.164	0.397	0.427	4.654	0.120	0.123	0.537	0.521	0.600	0.033	25.535	5.990	209.585	-36.485	Chandra
A0496	Core	3.471	0.200	0.227	5.017	0.010	0.021	3.721	0.277	0.279	5.017	0.010	0.021	2.312	0.206	0.297	5.017	0.010	0.021	1.014	-	-	0.033	25.535	5.990	209.585	-36.485	Chandra
A0500	Annulus	4.811	1.193	2.214	4.189	0.300	0.289	4.337	1.044	1.854	3.916	0.106	0.110	1.146	0.190	0.582	5.052	0.692	0.266	0.483	0.413	0.388	0.067	10.287	3.530	220.577	-38.485	XMM-Newton
A0500	Core	-	-	-	-	-	-	6.099	2.125	8.245	3.841	0.091	0.097	-	-	-	4.284	0.140	0.218	-	0.460	0.596	0.067	10.287	3.530	220.577	-38.485	XMM-Newton
A0514	Annulus	2.921	0.713	1.854	3.086	0.279	0.262	2.565	0.511	0.968	2.987	0.316	0.403	0.827	0.232	0.320	3.745	0.616	0.807	0.295	0.304	0.117	0.072	10.471	4.400	219.486	-35.910	Chandra
A0520	Annulus	6.036	1.770	3.475	8.603	0.126	0.121	5.754	1.628	3.054	8.410	0.178	0.177	-	-	-	8.742	0.223	0.207	0.349	0.242	0.370	0.203	6.128	6.870	195.810	-24.327	Chandra
A0520	Core	4.770	1.545	5.255	8.247	0.136	0.175	4.029	1.194	3.405	7.978	0.192	0.195	-	-	-	8.292	0.225	0.220	0.399	0.418	0.411	0.203	6.128	6.870	195.810	-24.327	Chandra
A0543	Annulus	-	-	-	6.210	0.946	1.487	4.908	1.715	4.193	5.217	1.190	2.085	-	-	-	4.464	0.923	1.604	0.491	0.000	1.151	0.171	6.183	2.610	225.560	-27.267	Chandra
A0543	Core	7.667	3.304	8.090	6.165	0.973	0.976	-	-	-	5.678	1.248	1.611	-	-	-	6.543	1.497	2.600	0.326	0.562	0.186	0.171	6.183	2.610	225.560	-27.267	Chandra
